hero_id,hero,item_key,item,rank,timing,games,wr,ci95,baseline_wr,baseline_games,baseline_ci95,delta,status
106,Ember Spirit,blades_of_attack,Blades of Attack,all,all,79,0.4810126582278481,0.11017908492527381,0.5030406985810073,6413,0.012237351219776565,-0.022028040353159195,thin
12,Phantom Lancer,quelling_blade,Quelling Blade,all,all,76,0.5526315789473685,0.11178918415537573,0.5309037633916308,10921,0.009359739123109011,0.021727815555737662,thin
7,Earthshaker,aghanims_shard,Aghanim's Shard,all,all,83,0.4819277108433735,0.10749868612859169,0.5031465166210113,13507,0.008432144222662601,-0.021218805777637795,thin
31,Lich,aghanims_shard,Aghanim's Shard,all,all,60,0.55,0.12588327927091827,0.528833746898263,10075,0.009747207535654445,0.02116625310173703,thin
67,Spectre,relic,Sacred Relic,all,all,88,0.5568181818181818,0.10379164774681293,0.5358369768894441,12808,0.008637081584868455,0.020981204928737673,thin
67,Spectre,radiance,Radiance,all,all,88,0.5568181818181818,0.10379164774681293,0.5358369768894441,12808,0.008637081584868455,0.020981204928737673,thin
8,Juggernaut,talisman_of_evasion,Talisman of Evasion,all,all,64,0.5,0.1225,0.5209027258514037,14711,0.00807281757429704,-0.020902725851403736,thin
8,Juggernaut,butterfly,Butterfly,all,all,64,0.5,0.1225,0.5209027258514037,14711,0.00807281757429704,-0.020902725851403736,thin
74,Invoker,kaya,Kaya,all,all,80,0.4875,0.10953308575494437,0.5078412995938769,16005,0.0077454173467786,-0.020341299593876927,thin
21,Windranger,maelstrom,Maelstrom,all,all,76,0.4605263157894737,0.11206284229840713,0.4803736909515558,13273,0.008499760662406729,-0.019847375162082126,thin
21,Windranger,gloves,Gloves of Haste,all,all,90,0.5,0.10330107023216706,0.4803736909515558,13273,0.008499760662406729,0.0196263090484442,thin
21,Windranger,power_treads,Power Treads,all,all,72,0.5,0.11549410759380276,0.4803736909515558,13273,0.008499760662406729,0.0196263090484442,thin
29,Tidehunter,gauntlets,Gauntlets of Strength,all,all,53,0.5283018867924528,0.13439752992932044,0.5086871325930764,7655,0.011199223687561032,0.019614754199376416,thin
96,Centaur Warrunner,gauntlets,Gauntlets of Strength,all,all,62,0.4838709677419355,0.12439535207773043,0.5030975735673723,7748,0.011133274970263474,-0.019226605825436782,thin
54,Lifestealer,radiance,Radiance,all,all,89,0.5393258426966292,0.10355798904475129,0.5203040979046912,10786,0.009428388962888805,0.019021744791937967,thin
54,Lifestealer,talisman_of_evasion,Talisman of Evasion,all,all,89,0.5393258426966292,0.10355798904475129,0.5203040979046912,10786,0.009428388962888805,0.019021744791937967,thin
104,Legion Commander,blades_of_attack,Blades of Attack,all,all,74,0.5540540540540541,0.11325500147285535,0.5359513274336283,12656,0.008688649558762196,0.01810272662042578,thin
